"date","sentiment","count"
"2024-05-02","negative","1"
"2024-05-06","neutral","1"
"2024-05-08","positive","1"
"2024-05-09","negative","1"
"2024-05-10","negative","2"
"2024-05-10","positive","1"
"2024-05-11","neutral","1"
"2024-05-13","negative","1"
"2024-05-13","neutral","1"
"2024-05-14","neutral","1"
"2024-05-15","neutral","1"
"2024-05-16","negative","1"
"2024-05-17","negative","2"
"2024-05-17","positive","1"
"2024-05-20","negative","2"
"2024-05-22","negative","1"
"2024-05-24","positive","1"
"2024-05-28","negative","1"
"2024-05-31","negative","1"
"2024-06-02","positive","1"
"2024-06-03","positive","1"
"2024-06-05","positive","2"
"2024-06-07","neutral","1"
"2024-06-07","positive","1"
"2024-06-08","positive","1"
"2024-06-09","positive","1"
"2024-06-10","negative","1"
"2024-06-10","positive","1"
"2024-06-13","positive","3"
"2024-06-14","negative","1"
"2024-06-17","neutral","1"
"2024-06-18","negative","1"
"2024-06-18","positive","1"
"2024-06-19","positive","2"
"2024-06-25","neutral","1"
"2024-06-28","neutral","1"
"2024-06-30","negative","1"
"2024-07-02","positive","1"
"2024-07-03","positive","1"
"2024-07-05","positive","1"
"2024-07-06","positive","1"
"2024-07-07","positive","1"
"2024-07-09","positive","1"
"2024-07-10","positive","1"
"2024-07-12","neutral","1"
"2024-07-12","positive","1"
"2024-07-16","neutral","1"
"2024-07-21","negative","1"
"2024-07-24","negative","1"
"2024-07-26","positive","2"
"2024-07-30","neutral","1"
"2024-07-31","positive","1"
"2024-08-04","positive","3"
"2024-08-06","positive","1"
"2024-08-07","negative","1"
"2024-08-11","positive","1"
"2024-08-12","positive","1"
"2024-08-16","negative","1"
"2024-08-16","positive","1"
"2024-08-22","negative","1"
"2024-08-22","neutral","1"
"2024-08-23","negative","1"
"2024-08-26","positive","1"
"2024-08-31","negative","1"
"2024-09-02","positive","1"
"2024-09-05","neutral","1"
"2024-09-06","positive","1"
"2024-09-11","positive","1"
"2024-09-13","neutral","1"
"2024-09-16","negative","1"
"2024-09-17","negative","1"
"2024-09-18","positive","1"
"2024-09-19","positive","1"
"2024-09-25","positive","1"
"2024-10-01","neutral","1"
"2024-10-03","neutral","1"
"2024-10-07","neutral","1"
"2024-10-07","positive","1"
"2024-10-08","positive","1"
"2024-10-09","positive","1"
"2024-10-11","negative","1"
"2024-10-11","neutral","2"
"2024-10-14","positive","1"
"2024-10-18","positive","2"
"2024-10-19","neutral","1"
"2024-10-23","positive","1"
"2024-10-26","positive","2"
"2024-10-28","neutral","1"
"2024-11-01","positive","1"
"2024-11-04","positive","1"
"2024-11-05","neutral","1"
"2024-11-07","positive","1"
"2024-11-08","negative","2"
"2024-11-13","neutral","1"
"2024-11-14","positive","1"
"2024-11-15","negative","1"
"2024-11-15","positive","1"
"2024-11-16","neutral","1"
"2024-11-17","positive","1"
"2024-11-18","positive","1"
"2024-11-20","positive","1"
"2024-11-23","positive","1"
"2024-11-27","negative","1"
"2024-11-28","positive","2"
"2024-11-29","positive","1"
"2024-12-01","positive","2"
"2024-12-08","positive","1"
"2024-12-09","negative","1"
"2024-12-09","positive","1"
"2024-12-10","neutral","1"
"2024-12-10","positive","1"
"2024-12-12","positive","2"
"2024-12-13","positive","1"
